sweep_name,swept_param,swept_value,nmax,dstep,time_layers,seed,trial,success_spatial,success_temporal,spatial_cost,temporal_cost,spatial_nodes,temporal_nodes,timed_path_duration,runtime_sec
vary_nmax,nmax,100,100,1.5,40,9,0,False,False,,,0,0,,0.011199951171875
vary_nmax,nmax,100,100,1.5,40,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,2.3220348358154297
vary_nmax,nmax,100,100,1.5,40,11,2,False,False,,,0,0,,0.011378288269042969
vary_nmax,nmax,100,100,1.5,40,12,3,True,True,18.531790405228637,17.467485196810507,15,9,26.46748519681051,1.5894529819488525
vary_nmax,nmax,100,100,1.5,40,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,2.0248470306396484
vary_nmax,nmax,100,100,1.5,40,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,1.9365601539611816
vary_nmax,nmax,100,100,1.5,40,15,6,True,False,18.17151242876064,,14,0,,0.7801449298858643
vary_nmax,nmax,100,100,1.5,40,16,7,False,False,,,0,0,,0.014381885528564453
vary_nmax,nmax,100,100,1.5,40,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,4.5141448974609375
vary_nmax,nmax,100,100,1.5,40,18,9,False,False,,,0,0,,0.01671910285949707
vary_nmax,nmax,200,200,1.5,40,9,0,True,False,19.266684257776213,,15,0,,0.7702968120574951
vary_nmax,nmax,200,200,1.5,40,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,2.3817620277404785
vary_nmax,nmax,200,200,1.5,40,11,2,True,True,17.178819734149958,16.120270391798915,14,12,21.520270391798917,4.458590984344482
vary_nmax,nmax,200,200,1.5,40,12,3,True,True,18.531790405228637,17.467485196810507,15,9,26.46748519681051,1.61997389793396
vary_nmax,nmax,200,200,1.5,40,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,2.0913021564483643
vary_nmax,nmax,200,200,1.5,40,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,1.974041223526001
vary_nmax,nmax,200,200,1.5,40,15,6,True,False,18.17151242876064,,14,0,,0.7785210609436035
vary_nmax,nmax,200,200,1.5,40,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,7.204056024551392
vary_nmax,nmax,200,200,1.5,40,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,4.378468990325928
vary_nmax,nmax,200,200,1.5,40,18,9,True,True,17.701932547719874,16.56515841491185,15,10,22.26515841491185,4.6983771324157715
vary_nmax,nmax,300,300,1.5,40,9,0,True,False,19.266684257776213,,15,0,,0.774587869644165
vary_nmax,nmax,300,300,1.5,40,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,2.3137617111206055
