sweep_name,swept_param,swept_value,nmax,dstep,time_layers,seed,trial,success_spatial,success_temporal,spatial_cost,temporal_cost,spatial_nodes,temporal_nodes,timed_path_duration,runtime_sec
vary_time_layers,time_layers,10,300,1.5,10,9,0,True,False,19.266684257776213,,15,0,,0.07397198677062988
vary_time_layers,time_layers,10,300,1.5,10,10,1,True,True,18.36682279114912,16.362756492793956,16,8,22.362756492793956,0.1678941249847412
vary_time_layers,time_layers,10,300,1.5,10,11,2,True,True,17.178819734149958,16.120270391798915,14,11,22.12027039179891,0.2870211601257324
vary_time_layers,time_layers,10,300,1.5,10,12,3,True,True,18.531790405228637,17.467485196810507,15,9,27.0674851968105,0.10878705978393555
vary_time_layers,time_layers,10,300,1.5,10,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,0.12023019790649414
vary_time_layers,time_layers,10,300,1.5,10,14,5,True,True,19.04072714513909,17.925401179415754,15,9,25.125401179415753,0.13164997100830078
vary_time_layers,time_layers,10,300,1.5,10,15,6,True,False,18.17151242876064,,14,0,,0.05657601356506348
vary_time_layers,time_layers,10,300,1.5,10,16,7,True,True,21.351869431458947,19.241552369941296,19,11,26.44155236994129,0.4711899757385254
vary_time_layers,time_layers,10,300,1.5,10,17,8,True,True,18.001769301320675,16.106927207839814,15,8,22.10692720783981,0.2700629234313965
vary_time_layers,time_layers,10,300,1.5,10,18,9,True,True,17.701932547719874,16.56515841491185,15,9,22.56515841491185,0.31473684310913086
vary_time_layers,time_layers,40,300,1.5,40,9,0,True,False,19.266684257776213,,15,0,,0.7687537670135498
vary_time_layers,time_layers,40,300,1.5,40,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,2.303061008453369
vary_time_layers,time_layers,40,300,1.5,40,11,2,True,True,17.178819734149958,16.120270391798915,14,12,21.520270391798917,4.301221132278442
vary_time_layers,time_layers,40,300,1.5,40,12,3,True,True,18.531790405228637,17.467485196810507,15,9,26.46748519681051,1.6210761070251465
vary_time_layers,time_layers,40,300,1.5,40,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,2.0091450214385986
vary_time_layers,time_layers,40,300,1.5,40,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,1.9323010444641113
vary_time_layers,time_layers,40,300,1.5,40,15,6,True,False,18.17151242876064,,14,0,,0.7761740684509277
vary_time_layers,time_layers,40,300,1.5,40,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,7.734309911727905
vary_time_layers,time_layers,40,300,1.5,40,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,4.369588136672974
vary_time_layers,time_layers,40,300,1.5,40,18,9,True,True,17.701932547719874,16.56515841491185,15,10,22.26515841491185,4.718635082244873
vary_time_layers,time_layers,60,300,1.5,60,9,0,True,False,19.266684257776213,,15,0,,1.7385799884796143
vary_time_layers,time_layers,60,300,1.5,60,10,1,True,True,18.36682279114912,16.362756492793956,16,8,21.762756492793955,5.020578861236572
vary_time_layers,time_layers,60,300,1.5,60,11,2,True,True,17.178819734149958,16.120270391798915,14,11,21.320270391798914,9.73197603225708
vary_time_layers,time_layers,60,300,1.5,60,12,3,True,True,18.531790405228637,17.467485196810507,15,12,26.46748519681051,3.530604124069214
vary_time_layers,time_layers,60,300,1.5,60,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,4.412996053695679
vary_time_layers,time_layers,60,300,1.5,60,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.525401179415752,4.3799848556518555
vary_time_layers,time_layers,60,300,1.5,60,15,6,True,False,18.17151242876064,,14,0,,1.7033932209014893
vary_time_layers,time_layers,60,300,1.5,60,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.841552369941297,16.421475887298584
vary_time_layers,time_layers,60,300,1.5,60,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.70692720783981,9.490294933319092
vary_time_layers,time_layers,60,300,1.5,60,18,9,True,True,17.701932547719874,16.56515841491185,15,9,21.965158414911848,10.45906686782837
vary_time_layers,time_layers,80,300,1.5,80,9,0,True,False,19.266684257776213,,15,0,,2.8830530643463135
vary_time_layers,time_layers,80,300,1.5,80,10,1,True,True,18.36682279114912,16.362756492793956,16,9,21.612756492793952,9.415390968322754
vary_time_layers,time_layers,80,300,1.5,80,11,2,True,True,17.178819734149958,16.120270391798915,14,11,21.370270391798915,18.936100006103516
vary_time_layers,time_layers,80,300,1.5,80,12,3,True,True,18.531790405228637,17.467485196810507,15,12,26.4674851968105,6.478142023086548
vary_time_layers,time_layers,80,300,1.5,80,13,4,True,True,16.50113118983033,15.737612960054188,13,5,15.737612960054188,8.184426069259644
vary_time_layers,time_layers,80,300,1.5,80,14,5,True,True,19.04072714513909,17.925401179415754,15,9,24.675401179415754,7.360975027084351
vary_time_layers,time_layers,80,300,1.5,80,15,6,True,False,18.17151242876064,,14,0,,2.999621868133545
vary_time_layers,time_layers,80,300,1.5,80,16,7,True,True,21.351869431458947,19.241552369941296,19,11,25.84155236994129,29.721483945846558
vary_time_layers,time_layers,80,300,1.5,80,17,8,True,True,18.001769301320675,16.106927207839814,15,8,21.506927207839816,17.995648860931396
vary_time_layers,time_layers,80,300,1.5,80,18,9,True,True,17.701932547719874,16.56515841491185,15,10,21.965158414911848,19.799912929534912
